# Arm length:          0  mm
# Shutter size:        0.0  mm
# Soller size:         0.0 бу
# Start theta:         10.0 бу
# Stop theta:          80.0 бу
# Increment:           0.0100002289 бу
# Exposure time:       0.1 s
# Frames:              7400
2Theta(бу)	         Counts
12.83558	         111.53618
12.84571	         115.22658
12.85584	         118.60535
12.86597	         123.75300
12.87610	         131.69213
12.88623	         135.01142
12.89636	         129.26997
12.90649	         121.23872
12.91662	         117.95518
12.92675	         121.05525
12.93688	         128.57831
12.94701	         136.93092
12.95714	         137.64244
12.96727	         132.68830
12.97740	         130.54724
12.98752	         137.70480
12.99765	         144.50290
13.00778	         144.02331
13.01791	         134.60421
13.02804	         121.20718
13.03817	         111.39132
13.04830	         107.16737
13.05843	         106.70178
13.06856	         104.92656
13.07869	         106.70445
13.08881	         111.31855
13.09894	         114.93362
13.10907	         118.12784
13.11920	         124.37951
13.12933	         131.93683
13.13946	         136.96482
13.14959	         133.11287
13.15972	         119.61224
13.16984	         110.93244
13.17997	         112.94856
13.19010	         118.99742
13.20023	         122.74616
13.21036	         125.00344
13.22049	         121.87184
13.23062	         113.37294
13.24074	         110.71102
13.25087	         114.21896
13.26100	         119.63194
13.27113	         126.12958
13.28126	         134.36174
13.29139	         141.77614
13.30151	         143.68725
13.31164	         139.74408
13.32177	         137.55579
13.33190	         141.40804
13.34203	         141.78983
13.35216	         134.47721
13.36228	         125.91845
13.37241	         126.00990
13.38254	         128.90144
13.39267	         131.03395
13.40280	         125.15542
13.41292	         118.07267
13.42305	         114.02542
13.43318	         110.58485
13.44331	         112.10080
13.45344	         118.67228
13.46356	         121.00974
13.47369	         116.12211
13.48382	         117.64292
13.49395	         121.83235
13.50407	         121.82859
13.51420	         119.92922
13.52433	         116.40900
13.53446	         114.00035
13.54458	         112.97689
13.55471	         109.51283
13.56484	         110.82280
13.57497	         117.03039
13.58510	         127.77826
13.59522	         135.38043
13.60535	         141.94717
13.61548	         144.76429
13.62560	         145.38491
13.63573	         142.39303
13.64586	         138.66164
13.65599	         135.32195
13.66611	         130.22247
13.67624	         122.99013
13.68637	         117.47809
13.69650	         120.81952
13.70662	         135.69863
13.71675	         141.07029
13.72688	         131.38442
13.73700	         120.56802
13.74713	         116.67628
13.75726	         117.73335
13.76739	         118.99975
13.77751	         119.87701
13.78764	         122.97889
13.79777	         129.75975
13.80789	         131.58234
13.81802	         128.50028
13.82815	         125.61772
13.83827	         125.28986
13.84840	         130.78863
13.85853	         140.97695
13.86865	         145.71324
13.87878	         137.69701
13.88891	         129.97016
13.89903	         127.80846
13.90916	         132.29639
13.91929	         143.82900
13.92941	         154.54185
13.93954	         155.14094
13.94967	         150.64538
13.95979	         149.72978
13.96992	         152.19852
13.98005	         157.80741
13.99017	         165.03616
14.00030	         170.64917
14.01043	         176.35274
14.02055	         190.87601
14.03068	         218.99989
14.04081	         256.46276
14.05093	         296.26419
14.06106	         325.90052
14.07118	         334.96037
14.08131	         327.66644
14.09144	         305.29475
14.10156	         266.58911
14.11169	         232.58037
14.12181	         210.50171
14.13194	         191.93731
14.14207	         178.94982
14.15219	         164.47190
14.16232	         144.73125
14.17244	         126.88371
14.18257	         119.13679
14.19270	         118.50823
14.20282	         118.31473
14.21295	         121.28560
14.22307	         129.36639
14.23320	         129.72104
14.24333	         122.53086
14.25345	         119.71597
14.26358	         122.43756
14.27370	         127.43227
14.28383	         127.15372
14.29395	         126.69609
