# Arm length:          0  mm
# Shutter size:        0.0  mm
# Soller size:         0.0 бу
# Start theta:         10.0 бу
# Stop theta:          70.0 бу
# Increment:           0.0100002289 бу
# Exposure time:       0.1 s
# Frames:              6400
2Theta(бу)	         Counts
12.56163	         4355.54218
12.57164	         4388.33577
12.58164	         4389.97325
12.59164	         4341.56624
12.60164	         4278.20667
12.61164	         4279.52996
12.62164	         4328.80580
12.63164	         4361.60915
12.64164	         4384.64046
12.65164	         4398.01651
12.66164	         4391.00868
12.67164	         4404.56177
12.68164	         4411.27949
12.69164	         4378.55932
12.70164	         4321.32566
12.71164	         4296.20321
12.72164	         4323.02800
12.73164	         4342.15045
12.74164	         4324.89843
12.75164	         4278.63746
12.76164	         4249.51950
12.77164	         4245.77747
12.78164	         4281.57760
12.79164	         4372.10571
12.80164	         4430.77204
12.81164	         4434.36274
12.82164	         4412.64766
12.83164	         4433.19531
12.84164	         4433.38846
12.85164	         4407.13216
12.86164	         4416.14668
12.87164	         4442.92253
12.88164	         4450.68532
12.89164	         4460.19499
12.90164	         4471.90896
12.91164	         4470.77879
12.92164	         4481.06158
12.93164	         4488.22902
12.94164	         4480.22799
12.95164	         4498.49111
12.96164	         4624.08363
12.97164	         5008.78941
12.98164	         5889.77463
12.99164	         7450.49833
13.00164	         9353.81597
13.01165	         10705.96851
13.02165	         10930.12699
13.03165	         10438.40620
13.04165	         9747.18654
13.05165	         9117.98406
13.06165	         8631.00815
13.07165	         8063.45313
13.08165	         7318.33604
13.09165	         6594.12198
13.10165	         6021.19500
13.11165	         5532.01713
13.12165	         5065.34636
13.13165	         4700.05716
13.14165	         4548.83822
13.15165	         4573.37042
13.16165	         4642.96776
13.17165	         4690.67613
13.18165	         4746.53986
13.19165	         4806.40625
13.20165	         4836.25775
13.21165	         4870.60565
13.22165	         4943.49969
13.23165	         5067.77807
13.24165	         5164.31101
13.25165	         5181.63147
13.26165	         5150.40127
13.27165	         5089.41268
13.28165	         5003.39988
13.29165	         4950.40864
13.30165	         4982.28931
13.31165	         5105.99637
13.32165	         5237.60637
13.33165	         5250.85217
13.34165	         5161.73196
13.35165	         5058.45854
13.36165	         4989.90841
13.37165	         4932.57209
13.38165	         4877.75434
13.39165	         4833.70543
13.40165	         4792.03867
13.41165	         4772.36324
13.42165	         4812.58839
13.43165	         4884.11429
13.44166	         4952.55296
13.45166	         4968.15900
13.46166	         4930.68139
13.47166	         4923.13555
13.48166	         4946.59787
13.49166	         4942.44683
13.50166	         4902.19991
13.51166	         4875.91000
13.52166	         4900.75673
13.53166	         4922.91293
13.54166	         4891.46248
13.55166	         4829.98686
13.56166	         4761.67195
13.57166	         4744.97957
13.58166	         4767.10574
13.59166	         4788.95757
13.60166	         4807.29123
13.61166	         4835.99498
13.62166	         4841.54951
13.63166	         4854.27853
13.64166	         4866.16310
13.65166	         4889.61209
13.66166	         4908.79614
13.67166	         4897.27233
13.68166	         4860.21970
13.69166	         4845.71490
13.70166	         4862.31461
13.71166	         4886.05422
13.72166	         4910.46831
13.73166	         4915.35838
13.74166	         4886.97488
13.75166	         4839.57030
13.76166	         4822.37348
13.77166	         4816.26203
13.78166	         4779.05289
13.79166	         4722.46221
13.80166	         4699.77871
13.81166	         4738.45854
13.82166	         4815.04661
13.83166	         4881.82244
13.84166	         4890.34742
13.85166	         4873.06606
13.86166	         4865.00781
13.87166	         4890.89289
13.88167	         4899.21853
13.89167	         4882.02398
13.90167	         4860.47343
13.91167	         4825.78616
13.92167	         4769.70360
13.93167	         4718.79465
13.94167	         4707.01550
13.95167	         4730.01528
13.96167	         4749.55168
13.97167	         4781.69931
13.98167	         4834.60094
13.99167	         4914.78915
14.00167	         4969.34064
14.01167	         4933.79575
14.02167	         4879.89707
14.03167	         4865.03206
14.04167	         4861.99185
14.05167	         4814.06877
14.06167	         4758.98136
14.07167	         4748.06676
14.08167	         4785.43292
14.09167	         4822.37270
14.10167	         4833.22614
14.11167	         4806.30933
14.12167	         4758.35941
14.13167	         4733.30214
14.14167	         4763.38499
14.15167	         4805.13652
14.16167	         4811.54242
14.17167	         4803.41776
14.18167	         4808.49931
14.19167	         4830.16028
14.20167	         4825.59985
14.21167	         4764.73177
14.22167	         4738.64364
14.23167	         4749.97535
14.24167	         4749.95136
14.25167	         4742.81981
14.26167	         4754.34333
14.27167	         4767.55341
14.28167	         4788.83191
14.29167	         4810.79019
14.30167	         4819.22464
14.31167	         4819.29795
14.32168	         4828.19763
14.33168	         4819.73405
14.34168	         4772.33164
14.35168	         4710.32585
14.36168	         4649.41300
14.37168	         4589.35539
14.38168	         4558.98732
14.39168	         4593.98691
14.40168	         4643.33777
14.41168	         4669.67513
14.42168	         4666.86121
14.43168	         4641.83136
14.44168	         4629.70054
14.45168	         4652.22902
14.46168	         4644.73157
14.47168	         4614.38685
14.48168	         4637.41626
14.49168	         4676.20017
14.50168	         4712.97826
14.51168	         4741.44509
14.52168	         4742.14986
14.53168	         4726.72016
14.54168	         4690.50541
14.55168	         4658.86001
14.56168	         4653.87133
14.57168	         4682.55691
14.58168	         4704.07552
14.59168	         4699.52699
14.60168	         4713.61416
14.61168	         4734.61594
14.62168	         4686.90857
14.63168	         4634.24255
14.64168	         4627.87431
14.65168	         4646.87136
14.66168	         4670.61923
14.67168	         4667.39839
14.68168	         4648.88477
14.69168	         4640.18649
14.70168	         4656.36172
14.71168	         4670.36451
14.72168	         4649.84557
14.73168	         4596.77151
14.74168	         4523.58972
14.75169	         4490.85106
14.76169	         4476.79629
14.77169	         4454.94661
14.78169	         4424.79027
14.79169	         4452.58199
14.80169	         4543.18370
14.81169	         4588.70666
14.82169	         4565.87818
14.83169	         4550.65669
14.84169	         4564.01586
14.85169	         4568.47344
14.86169	         4547.72288
14.87169	         4530.66032
14.88169	         4512.03117
14.89169	         4499.33273
14.90169	         4522.08579
14.91169	         4534.44321
14.92169	         4519.72065
14.93169	         4507.59408
14.94169	         4493.03349
14.95169	         4471.25433
14.96169	         4476.53670
14.97169	         4524.43870
14.98169	         4556.95290
14.99169	         4562.88453
15.00169	         4547.27808
15.01169	         4511.93670
15.02169	         4489.59876
15.03169	         4468.99566
15.04169	         4439.78124
15.05169	         4451.60201
15.06169	         4524.38407
15.07169	         4592.90017
15.08169	         4597.30786
15.09169	         4565.97799
15.10169	         4543.65340
15.11169	         4539.88549
15.12169	         4515.55597
15.13169	         4442.31081
15.14169	         4392.75693
15.15169	         4349.68019
15.16169	         4335.08360
15.17169	         4366.95727
15.18169	         4438.45780
15.19170	         4480.17478
15.20170	         4469.78169
15.21170	         4430.22969
15.22170	         4380.35179
15.23170	         4351.78146
15.24170	         4352.42548
15.25170	         4368.05876
15.26170	         4377.13902
15.27170	         4391.64081
15.28170	         4383.72077
15.29170	         4349.86540
15.30170	         4328.66997
15.31170	         4311.03176
15.32170	         4287.42107
15.33170	         4286.29811
15.34170	         4288.46722
15.35170	         4285.43271
15.36170	         4266.97289
15.37170	         4241.19587
15.38170	         4244.43482
15.39170	         4274.69549
15.40170	         4286.77814
15.41170	         4259.31429
15.42170	         4264.00274
15.43170	         4297.23189
15.44170	         4301.46494
15.45170	         4271.11706
15.46170	         4269.35596
15.47170	         4276.45201
15.48170	         4279.80173
15.49170	         4288.62247
15.50170	         4261.44033
15.51170	         4188.55970
15.52170	         4137.51525
15.53170	         4164.63191
15.54170	         4223.40048
15.55170	         4226.03619
15.56170	         4192.47507
15.57170	         4171.26437
15.58170	         4191.68804
15.59170	         4249.97376
15.60170	         4279.13339
15.61170	         4205.54519
15.62170	         4125.81238
15.63171	         4144.70459
15.64171	         4204.12578
15.65171	         4236.11990
15.66171	         4228.57960
15.67171	         4201.06944
15.68171	         4178.37898
15.69171	         4147.72196
15.70171	         4097.75013
15.71171	         4042.29722
15.72171	         4033.40949
15.73171	         4064.16399
15.74171	         4072.19117
15.75171	         4078.61555
15.76171	         4109.80915
15.77171	         4127.91655
15.78171	         4150.33175
15.79171	         4168.49946
15.80171	         4168.96014
15.81171	         4172.06917
15.82171	         4178.87989
15.83171	         4188.67742
15.84171	         4153.54486
15.85171	         4089.60442
15.86171	         4048.67572
15.87171	         4031.83161
15.88171	         4056.75675
15.89171	         4092.76562
15.90171	         4088.90788
15.91171	         4054.69918
15.92171	         4023.99637
15.93171	         4013.44785
15.94171	         4035.30604
15.95171	         4055.95436
15.96171	         4068.34083
15.97171	         4090.77380
15.98171	         4076.86528
15.99171	         4035.61716
16.00171	         3998.97380
16.01171	         3988.31427
16.02171	         3978.02644
16.03171	         3981.29840
16.04171	         3997.33916
16.05171	         4000.11697
16.06171	         3977.04990
16.07172	         3957.89116
16.08172	         3963.51161
16.09172	         3957.61689
16.10172	         3933.33662
16.11172	         3899.78383
16.12172	         3890.56077
16.13172	         3897.46904
16.14172	         3921.11252
16.15172	         3932.32088
16.16172	         3941.34147
16.17172	         3936.99786
16.18172	         3915.22574
16.19172	         3899.27923
16.20172	         3925.57914
16.21172	         3980.66498
16.22172	         3983.50502
16.23172	         3944.88154
16.24172	         3937.50163
16.25172	         3933.56862
16.26172	         3952.24438
16.27172	         3965.61987
16.28172	         3962.84576
16.29172	         3929.52065
16.30172	         3884.55858
16.31172	         3859.74375
16.32172	         3853.74449
16.33172	         3878.38883
16.34172	         3928.63803
16.35172	         3942.26003
16.36172	         3890.52419
16.37172	         3839.50633
16.38172	         3845.88801
16.39172	         3886.99720
16.40172	         3928.42142
16.41172	         3903.19391
16.42172	         3808.55433
16.43172	         3715.82217
16.44172	         3684.96236
16.45172	         3718.52524
16.46172	         3770.31332
16.47172	         3802.81596
16.48172	         3821.15974
16.49172	         3830.28340
16.50173	         3794.41246
16.51173	         3731.63932
16.52173	         3693.41100
16.53173	         3705.30586
16.54173	         3754.17552
16.55173	         3803.05227
16.56173	         3788.85731
16.57173	         3765.89418
16.58173	         3782.56113
16.59173	         3819.51082
16.60173	         3818.77267
16.61173	         3781.72377
16.62173	         3724.47076
16.63173	         3672.24309
16.64173	         3670.74560
16.65173	         3710.36893
16.66173	         3750.36287
16.67173	         3780.24054
16.68173	         3805.14166
16.69173	         3776.43501
16.70173	         3697.01130
16.71173	         3654.21291
16.72173	         3671.11041
16.73173	         3706.82310
16.74173	         3723.72346
16.75173	         3703.73365
16.76173	         3666.98741
16.77173	         3620.48712
16.78173	         3594.73488
16.79173	         3607.98865
16.80173	         3645.40380
16.81173	         3685.16989
16.82173	         3692.88828
16.83173	         3681.39243
16.84173	         3667.19508
16.85173	         3673.10131
16.86173	         3709.13363
16.87173	         3726.80024
16.88173	         3691.10677
16.89173	         3611.71915
16.90173	         3545.87975
16.91173	         3525.16842
16.92173	         3540.89822
16.93173	         3579.95548
16.94174	         3616.23131
16.95174	         3620.20558
16.96174	         3608.26419
16.97174	         3612.23497
16.98174	         3625.79059
16.99174	         3596.64493
17.00174	         3504.27064
17.01174	         3427.88654
17.02174	         3422.31672
17.03174	         3469.76582
17.04174	         3510.50827
17.05174	         3533.76352
17.06174	         3553.12489
17.07174	         3558.32510
17.08174	         3547.68246
17.09174	         3526.66348
17.10174	         3512.77714
17.11174	         3482.18604
17.12174	         3448.80887
17.13174	         3451.58338
