# Arm length:          0  mm
# Shutter size:        0.0  mm
# Soller size:         0.0 бу
# Start theta:         10.0 бу
# Stop theta:          80.0 бу
# Increment:           0.0100002289 бу
# Exposure time:       0.1 s
# Frames:              7400
2Theta(бу)	         Counts
12.60260	         1459.31613
12.61273	         1447.95576
12.62286	         1462.18668
12.63299	         1504.57699
12.64312	         1527.65162
12.65325	         1512.07708
12.66338	         1463.09715
12.67351	         1431.98889
12.68364	         1454.32153
12.69377	         1503.68018
12.70390	         1527.02913
12.71403	         1509.34391
12.72416	         1471.97126
12.73429	         1447.63397
12.74442	         1455.66074
12.75455	         1468.11105
12.76468	         1476.66069
12.77481	         1492.13609
12.78494	         1504.18027
12.79507	         1482.68757
12.80520	         1465.56220
12.81532	         1472.36067
12.82545	         1489.91908
12.83558	         1486.53258
12.84571	         1468.86774
12.85584	         1476.52768
12.86597	         1499.96908
12.87610	         1510.84464
12.88623	         1512.15115
12.89636	         1511.58591
12.90649	         1520.38883
12.91662	         1524.86897
12.92675	         1511.99902
12.93688	         1512.44076
12.94701	         1528.06047
12.95714	         1532.87618
12.96727	         1528.03235
12.97740	         1544.61998
12.98752	         1536.45426
12.99765	         1488.84183
13.00778	         1449.29162
13.01791	         1469.85185
13.02804	         1536.78049
13.03817	         1587.29127
13.04830	         1604.66461
13.05843	         1613.60923
13.06856	         1618.96446
13.07869	         1602.10606
13.08881	         1553.77258
13.09894	         1531.08762
13.10907	         1558.12944
13.11920	         1603.64433
13.12933	         1643.64104
13.13946	         1692.78605
13.14959	         1803.55692
13.15972	         2024.59574
13.16984	         2543.02173
13.17997	         3574.21633
13.19010	         5011.25454
13.20023	         6088.10304
13.21036	         6186.18241
13.22049	         5699.32906
13.23062	         5103.41214
13.24074	         4341.31321
13.25087	         3449.58584
13.26100	         2717.56627
13.27113	         2258.12792
13.28126	         2018.16646
13.29139	         1877.97423
13.30151	         1795.92233
13.31164	         1768.42423
13.32177	         1782.49109
13.33190	         1829.34385
13.34203	         1869.19433
13.35216	         1882.45164
13.36228	         1873.89178
13.37241	         1884.49767
13.38254	         1912.30502
13.39267	         1933.66885
13.40280	         1958.21228
13.41292	         1986.04066
13.42305	         1998.16564
13.43318	         2008.47939
13.44331	         2045.08577
13.45344	         2066.07215
13.46356	         2066.15248
13.47369	         2061.08445
13.48382	         2070.07723
13.49395	         2074.28111
13.50407	         2082.38614
13.51420	         2094.47410
13.52433	         2124.78448
13.53446	         2136.31671
13.54458	         2126.98570
13.55471	         2097.31835
13.56484	         2033.78049
13.57497	         1976.16390
13.58510	         1963.16163
13.59522	         1964.65922
13.60535	         1969.94093
13.61548	         1978.38512
13.62560	         1995.61843
13.63573	         2020.53537
13.64586	         2036.27796
13.65599	         2029.39179
13.66611	         2027.67106
13.67624	         2064.32344
13.68637	         2070.23770
13.69650	         2052.19918
13.70662	         2008.63297
13.71675	         1968.06939
13.72688	         1951.16052
13.73700	         1950.32231
13.74713	         1967.67518
13.75726	         1971.15050
13.76739	         1983.99441
13.77751	         1983.03804
13.78764	         1998.72649
13.79777	         2003.98185
13.80789	         2009.16679
13.81802	         1996.18145
13.82815	         1991.65458
13.83827	         1985.36218
13.84840	         1962.21688
13.85853	         1935.51148
13.86865	         1917.12638
13.87878	         1935.69435
13.88891	         1977.71397
13.89903	         2014.08700
13.90916	         2027.18962
13.91929	         2023.05463
13.92941	         2019.32105
13.93954	         1990.32252
13.94967	         1953.58551
13.95979	         1934.62179
13.96992	         1945.22937
13.98005	         1971.08652
13.99017	         1996.84593
14.00030	         2026.78932
14.01043	         2037.30234
14.02055	         2018.11454
14.03068	         1983.38875
14.04081	         1969.98458
14.05093	         1976.14393
14.06106	         1993.35850
14.07118	         2005.98522
14.08131	         2014.23475
14.09144	         2016.60864
14.10156	         2037.78484
14.11169	         2036.56443
14.12181	         2037.78619
14.13194	         2057.71256
14.14207	         2061.64264
14.15219	         2057.48045
14.16232	         2054.42604
14.17244	         2070.16784
14.18257	         2086.48589
14.19270	         2068.50168
14.20282	         2040.23330
14.21295	         2020.20860
14.22307	         2009.52740
14.23320	         1993.38526
14.24333	         1993.03529
14.25345	         1999.46349
14.26358	         1990.08112
14.27370	         1982.47425
14.28383	         1966.39916
14.29395	         1978.83963
14.30408	         1991.34688
14.31420	         1996.98732
14.32433	         2007.84679
14.33446	         2008.75284
14.34458	         1990.15886
14.35471	         1983.08755
14.36483	         1989.38179
14.37496	         1989.14860
14.38508	         1994.38587
14.39521	         2005.86507
14.40533	         1995.25605
14.41546	         1992.11620
14.42558	         2004.19711
14.43571	         2026.95715
14.44583	         2039.66441
14.45596	         2024.31055
14.46608	         2023.13283
14.47621	         2033.32137
14.48633	         2030.01702
14.49646	         2014.90653
14.50659	         2013.33711
14.51671	         2003.45456
14.52684	         1953.77398
14.53696	         1895.46471
14.54708	         1872.88308
14.55721	         1907.38108
14.56733	         1958.44139
14.57746	         1975.93110
14.58758	         1972.76109
14.59771	         1961.25132
14.60783	         1952.03545
14.61796	         1943.45354
14.62808	         1936.76398
14.63821	         1943.04782
14.64833	         1941.71959
14.65846	         1928.10170
14.66858	         1910.02302
14.67871	         1921.83372
14.68883	         1937.31498
14.69896	         1932.69944
14.70908	         1917.25445
14.71920	         1922.08030
14.72933	         1964.11046
14.73945	         2013.49910
14.74958	         2011.11068
14.75970	         1961.99403
14.76983	         1933.98051
14.77995	         1948.03428
14.79007	         1974.34445
14.80020	         2007.53140
14.81032	         2024.82639
14.82045	         2044.34875
14.83057	         2036.36629
14.84070	         1994.66878
14.85082	         1974.98700
14.86094	         1982.48256
14.87107	         1994.70202
14.88119	         2008.02015
14.89132	         2007.20499
14.90144	         1996.74341
14.91156	         2001.03828
14.92169	         2005.58529
14.93181	         2015.22326
14.94194	         2020.12541
14.95206	         2008.40585
14.96218	         1981.82242
14.97231	         1978.89424
14.98243	         1979.21946
14.99255	         1984.28236
15.00268	         1980.77497
15.01280	         1966.46274
15.02293	         1954.04632
15.03305	         1929.74787
15.04317	         1914.51206
15.05330	         1921.84305
15.06342	         1957.68242
15.07354	         1981.75612
15.08367	         1990.59563
15.09379	         2021.67583
15.10391	         2018.40613
15.11404	         1976.90186
15.12416	         1926.64953
15.13428	         1905.98030
15.14441	         1907.58186
15.15453	         1939.70111
15.16465	         1988.19585
15.17478	         2000.26293
15.18490	         1982.08080
15.19502	         1988.28486
15.20515	         2008.40462
15.21527	         1999.36281
15.22539	         2001.91897
15.23552	         2002.65897
15.24564	         1970.99163
15.25576	         1912.52824
15.26588	         1877.11923
15.27601	         1895.97797
15.28613	         1951.37836
15.29625	         1975.44815
15.30638	         1946.96338
15.31650	         1932.11826
15.32662	         1953.43365
15.33674	         1989.49692
15.34687	         2020.82931
15.35699	         2034.11169
15.36711	         2029.33125
15.37723	         2025.28429
15.38736	         2021.96874
15.39748	         2006.39116
15.40760	         1970.27030
15.41773	         1931.15381
15.42785	         1912.52647
15.43797	         1929.81268
