10.00837	         1948.24883
10.01851	         1946.93803
10.02865	         1946.60447
10.03879	         1945.87653
10.04892	         1935.98998
10.05906	         1932.52634
10.06920	         1949.11994
10.07933	         1968.84001
10.08947	         1972.65400
10.09961	         1976.58742
10.10975	         1981.94381
10.11988	         1974.81677
10.13002	         1978.15218
10.14016	         1999.66045
10.15029	         2016.80538
10.16043	         2014.57630
10.17057	         2004.82515
10.18070	         2010.54123
10.19084	         2011.61764
10.20098	         2007.84314
10.21111	         1986.81504
10.22125	         1979.30923
10.23139	         1991.10474
10.24152	         1988.35917
10.25166	         1999.88649
10.26180	         2013.57156
10.27193	         1992.99392
10.28207	         1956.24370
10.29221	         1955.69720
10.30234	         2001.65846
10.31248	         2044.44631
10.32261	         2062.18470
10.33275	         2070.83314
10.34289	         2087.86403
10.35302	         2101.07401
10.36316	         2058.51640
10.37330	         1975.78474
10.38343	         1930.80391
10.39357	         1925.95307
10.40370	         1943.57114
10.41384	         1971.58450
10.42398	         1980.19112
10.43411	         1953.76279
10.44425	         1947.44219
10.45438	         1978.52361
10.46452	         2015.70298
10.47466	         2026.29132
10.48479	         2022.54604
10.49493	         2011.63337
10.50506	         1982.26733
10.51520	         1948.34377
10.52534	         1942.97197
10.53547	         1969.10391
10.54561	         1984.74555
10.55574	         1998.43160
10.56588	         2010.61563
10.57601	         2003.93957
10.58615	         1978.22261
10.59629	         1951.76730
10.60642	         1963.44260
10.61656	         2011.81674
10.62669	         2056.63175
10.63683	         2064.77857
10.64696	         2047.17211
10.65710	         2021.23627
10.66723	         2002.49276
10.67737	         1968.16127
10.68750	         1919.27367
10.69764	         1892.71081
10.70778	         1894.98085
10.71791	         1906.45869
10.72805	         1904.05078
10.73818	         1900.13304
10.74832	         1914.83566
10.75845	         1940.29091
10.76859	         1943.21129
10.77872	         1925.73808
10.78886	         1923.85297
10.79899	         1918.94820
10.80913	         1911.45441
10.81926	         1911.42431
10.82940	         1909.09432
10.83953	         1915.34563
10.84967	         1945.23986
10.85980	         1973.73060
10.86994	         1975.46755
10.88007	         1962.54354
10.89021	         1941.19723
10.90034	         1920.38470
10.91048	         1881.04408
10.92061	         1833.75896
10.93075	         1812.42465
10.94088	         1847.88569
10.95101	         1896.07849
10.96115	         1900.07302
10.97128	         1874.92359
10.98142	         1843.60783
10.99155	         1826.96227
11.00169	         1828.46436
11.01182	         1847.11315
11.02196	         1883.31876
11.03209	         1908.46218
11.04223	         1912.85465
11.05236	         1921.44475
11.06249	         1918.71004
11.07263	         1899.42135
11.08276	         1879.64714
11.09290	         1894.43053
11.10303	         1917.55027
11.11317	         1926.75980
11.12330	         1912.45442
11.13343	         1888.39562
11.14357	         1874.41419
11.15370	         1891.34673
11.16384	         1910.81515
11.17397	         1890.01189
11.18410	         1868.47412
11.19424	         1884.61811
11.20437	         1888.95757
11.21451	         1856.71576
11.22464	         1823.60060
11.23477	         1801.98960
11.24491	         1776.06743
11.25504	         1766.70048
11.26518	         1765.00095
11.27531	         1774.54639
11.28544	         1793.10248
11.29558	         1799.11614
11.30571	         1794.37509
11.31584	         1803.91940
11.32598	         1838.20643
11.33611	         1862.30820
11.34625	         1873.53225
11.35638	         1873.76916
